category,department,expense_category,expense_name,amount
General Government,Assessing,Salary & Benefits,SALARIES & WAGES-ASSESSORS OFC,427643
General Government,Assessing,Salary & Benefits,WRS,31087
General Government,Assessing,Software and Contracted Services,OTHER CONTRACTUAL,27850
General Government,Assessing,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",20400
General Government,Assessing,"Training,Travel, Tuition",TRAINING & TRAVEL,3600
General Government,Assessing,"Training,Travel, Tuition",TUITION REIMBURSEMENT,650
General Government,Assessing,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,350
General Government,Assessing,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,240
General Government,Assessing,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",1000
General Government,City Clerk,Election Costs,ELECTION COSTS,46075
General Government,City Clerk,General Office,LEASE/RENTAL COSTS,4015
General Government,City Clerk,General Office,OFFICE SUPPLIES & POSTAGE,4800
General Government,City Clerk,General Office,"PUBLICATIONS, DUES",640
General Government,City Clerk,IT Expenses,IT CAPITAL ISF ALLOCATION,1220
General Government,City Clerk,IT Expenses,IT OPERATING ISF ALLOCATION,29895
General Government,City Clerk,Insurance Expenses,INSURANCE ISF ALLOCATION,3794
General Government,City Clerk,Salary & Benefits,DENTAL INS,4748
General Government,City Clerk,Salary & Benefits,DISABILITY INS,1486
General Government,City Clerk,Salary & Benefits,FICA,22825
General Government,City Clerk,Salary & Benefits,HEALTH INS,90705
General Government,City Clerk,Salary & Benefits,LIFE INS,1244
General Government,City Clerk,Salary & Benefits,LONGEVITY BENEFIT,765
General Government,City Clerk,Salary & Benefits,OVERTIME WAGES,6945
General Government,City Clerk,Salary & Benefits,PT/LTE/SEASONAL WAGES,111502
General Government,City Clerk,Salary & Benefits,SALARIES & WAGES - CLERKS OFFC,288069
General Government,City Clerk,Salary & Benefits,WRS,21296
General Government,City Clerk,Software and Contracted Services,OTHER CONTRACTUAL,1080
General Government,City Clerk,Software and Contracted Services,PROFESSIONAL SERVICES,2500
General Government,City Clerk,Software and Contracted Services,PUBLIC NOTICES & ADVERTISEMENT,19500
General Government,City Clerk,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",29370
General Government,City Clerk,"Training,Travel, Tuition",TRAINING & TRAVEL,6400
General Government,City Clerk,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,1095
General Government,FACTv,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,9350
General Government,FACTv,Equipment Materials & Supplies,REPAIRS & MAINT SUPPLIES,3000
General Government,FACTv,Gasoline and Fuel,GASOLINE/DIESEL FUEL,875
General Government,FACTv,General Office,OFFICE SUPPLIES & POSTAGE,500
General Government,FACTv,General Office,PUBLIC INFORMATION & EDUCATION,1000
General Government,FACTv,General Office,"PUBLICATIONS, DUES",1695
General Government,FACTv,IT Expenses,IT CAPITAL ISF ALLOCATION,12565
General Government,FACTv,IT Expenses,IT OPERATING ISF ALLOCATION,32970
General Government,FACTv,Insurance Expenses,INSURANCE ISF ALLOCATION,10270
General Government,FACTv,Salary & Benefits,DENTAL INS,3336
General Government,FACTv,Salary & Benefits,DISABILITY INS,1193
General Government,FACTv,Salary & Benefits,FACTv Holiday Premium,126
General Government,FACTv,Salary & Benefits,FICA,21724
General Government,FACTv,Salary & Benefits,HEALTH INS,64081
General Government,FACTv,Salary & Benefits,LIFE INS,744
General Government,FACTv,Salary & Benefits,LONGEVITY,675
General Government,FACTv,Salary & Benefits,PT/LTE/SEASONAL WAGES,8986
General Government,FACTv,Salary & Benefits,SALARIES & WAGES - CABLE,274181
General Government,FACTv,Salary & Benefits,WRS,19799
General Government,FACTv,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,1000
General Government,FACTv,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,3000
General Government,FACTv,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",16230
General Government,FACTv,"Training,Travel, Tuition",TRAINING & TRAVEL,3500
General Government,FACTv,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,115
General Government,FACTv,Vehicle Expense,VEHICLE EXPENSE,2500
General Government,Finance,Equipment Materials & Supplies,EQUIPMENT OPERATING EXPENSE,50
General Government,Finance,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,2405
General Government,Finance,Gasoline and Fuel,GASOLINE/DIESEL FUEL,175
General Government,Finance,General Office,OFFICE SUPPLIES & POSTAGE,7100
General Government,Finance,General Office,"PUBLICATIONS, DUES",1335
General Government,Finance,IT Expenses,IT CAPITAL ISF ALLOCATION,1175
General Government,Finance,IT Expenses,IT OPERATING ISF ALLOCATION,24480
General Government,Finance,Insurance Expenses,INSURANCE ISF ALLOCATION,4950
General Government,Finance,Salary & Benefits,DENTAL INS,5076
General Government,Finance,Salary & Benefits,DISABILITY INS,1491
General Government,Finance,Salary & Benefits,FICA,28569
General Government,Finance,Salary & Benefits,Finance Holiday Premium,311
General Government,Finance,Salary & Benefits,HEALTH INS,102502
General Government,Finance,Salary & Benefits,LIFE INS,887
General Government,Finance,Salary & Benefits,LONGEVITY BENEFIT,1091
General Government,Finance,Salary & Benefits,OVERTIME WAGES,744
General Government,Finance,Salary & Benefits,PT/LTE/SEASONAL WAGES,4415
General Government,Finance,Salary & Benefits,SALARIES & WAGES - FINANCE,366883
General Government,Finance,Salary & Benefits,WRS,26570
General Government,Finance,Software and Contracted Services,AUDIT & FINANCIAL CONSULTING,54090
General Government,Finance,Software and Contracted Services,OTHER CONTRACTUAL,1350
General Government,Finance,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",283565
General Government,Finance,"Training,Travel, Tuition",TRAINING & TRAVEL,8400
General Government,Finance,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,665
General Government,HR,Equipment Materials & Supplies,EQUIPMENT OPERATING EXPENSE,2000
General Government,HR,Equipment Materials & Supplies,OPERATING MATERIALS & SUPP,1300
General Government,HR,General Office,OFFICE SUPPLIES & POSTAGE,500
General Government,HR,General Office,"PUBLICATIONS, DUES",1810
General Government,HR,IT Expenses,IT CAPITAL ISF ALLOCATION,1220
General Government,HR,IT Expenses,IT OPERATING ISF ALLOCATION,24795
General Government,HR,Insurance Expenses,INSURANCE ISF ALLOCATION,2745
General Government,HR,Salary & Benefits,DENTAL INS,4236
General Government,HR,Salary & Benefits,DISABILITY INS,1137
General Government,HR,Salary & Benefits,FICA,20061
General Government,HR,Salary & Benefits,HEALTH INS,79872
General Government,HR,Salary & Benefits,LIFE INS,698
General Government,HR,Salary & Benefits,LONGEVITY,585
General Government,HR,Salary & Benefits,PER DIEMS - CEAC,1600
General Government,HR,Salary & Benefits,SALARIES & WAGES-HR,261647
General Government,HR,Salary & Benefits,WRS,18881
General Government,HR,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,8000
General Government,HR,Software and Contracted Services,PROFESSIONAL SERVICES,1625
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - FD,8440
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - GEN,4340
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - HIGHWAY,1815
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - PD,13800
General Government,HR,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",29060
General Government,HR,"Training,Travel, Tuition",TRAINING & TRAVEL,4230
General Government,HR,"Training,Travel, Tuition",TUITION REIMBURSEMENT,1505
General Government,HR,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,245
General Government,Interdepartmental,Contingency,CONTINGENCY - DESIGNATED,9000
General Government,Interdepartmental,Contingency,CONTINGENCY - UNDESIGNATED,25000
General Government,Interdepartmental,Debt Collection,BAD DEBT EXPENSE,3000
General Government,Interdepartmental,Debt Collection,DEBT COLLECTION EXPENSE,2000
General Government,Interdepartmental,General Office,EMPLOYEE RECOG & MEMORIALS,5050
General Government,Interdepartmental,General Office,OFFICE SUPPLIES - INTERDEPT,12000
General Government,Interdepartmental,General Office,SAFETY & HEALTH PROGRAMS,100
General Government,Interdepartmental,General Office,SPECIAL ASSESSMENTS-CITY,30
General Government,Interdepartmental,Salary & Benefits,EMPLOYEE RETIREMENT RESERVE,160000
General Government,Interdepartmental,Salary & Benefits,FICA,12240
General Government,Legal,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,600
General Government,Legal,General Office,PUBLICATIONS & DUES,5375
General Government,Legal,IT Expenses,IT CAPITAL ISF ALLOCATION,305
General Government,Legal,IT Expenses,IT OPERATING ISF ALLOCATION,6200
General Government,Legal,Insurance Expenses,INSURANCE ISF ALLOCATION,1520
General Government,Legal,Outside Legal Counsel,OUTSIDE LEGAL COUNSEL,50000
General Government,Legal,Salary & Benefits,DENTAL INS,1412
General Government,Legal,Salary & Benefits,DISABILITY INS,400
General Government,Legal,Salary & Benefits,FICA,12177
General Government,Legal,Salary & Benefits,HEALTH INS,26624
General Government,Legal,Salary & Benefits,LIFE INS,153
General Government,Legal,Salary & Benefits,SALARIES & WAGES - LEGAL DEPT,159172
General Government,Legal,Salary & Benefits,WRS,11460
General Government,Legal,"Training,Travel, Tuition",TRAINING & TRAVEL,5200
General Government,Legal,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,560
General Government,Mayor & Council,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,1650
General Government,Mayor & Council,General Office,OFFICE SUPPLIES & POSTAGE,500
General Government,Mayor & Council,General Office,PUBLIC INFORMATION & EDUCATION,1500
General Government,Mayor & Council,General Office,PUBLICATIONS & DUES,20550
General Government,Mayor & Council,IT Expenses,IT CAPITAL ISF ALLOCATION,305
General Government,Mayor & Council,IT Expenses,IT OPERATING ISF ALLOCATION,9720
General Government,Mayor & Council,Insurance Expenses,INSURANCE ISF ALLOCATION,545
General Government,Mayor & Council,Salary & Benefits,FICA,3863
General Government,Mayor & Council,Salary & Benefits,PER DIEMS - YOUTH COMM,1680
General Government,Mayor & Council,Salary & Benefits,SALARIES & WAGES - MAYOR & CC,50500
General Government,Mayor & Council,"Training,Travel, Tuition",TRAINING & TRAVEL,5450
General Government,Mayor & Council,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,110
General Government,Municipal Court,Election Costs,OTHER - DOT SUSPENSION FEES,2000
General Government,Municipal Court,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,2600
General Government,Municipal Court,General Office,OFFICE SUPPLIES & POSTAGE,3730
General Government,Municipal Court,General Office,PUBLICATIONS & DUES,260
General Government,Municipal Court,IT Expenses,IT CAPITAL ISF ALLOCATION,915
General Government,Municipal Court,IT Expenses,IT OPERATING ISF ALLOCATION,18155
General Government,Municipal Court,Insurance Expenses,INSURANCE ISF ALLOCATION,1315
General Government,Municipal Court,Salary & Benefits,DENTAL INS,2118
General Government,Municipal Court,Salary & Benefits,DISABILITY INS,400
General Government,Municipal Court,Salary & Benefits,FICA,11243
General Government,Municipal Court,Salary & Benefits,HEALTH INS,26624
General Government,Municipal Court,Salary & Benefits,LIFE INS,236
General Government,Municipal Court,Salary & Benefits,LONGEVITY BENEFIT,900
General Government,Municipal Court,Salary & Benefits,PT/LTE/SEASONAL WAGES,6139
